Nombre,Descripcion,Foto,Ficha,Google Maps,Categoria,Latitude,Longitude
Mamfe (paso obligado de entrada),"Media · Ciudad · servicios — Capital del departamento de Manyu, a 70 km del paso de Ekok/Mfum y primera población camerunesa de la ruta. Está en pleno corazón de la crisis anglófona: es nudo de la carretera Ekok-Bamenda y ha sufrido enfrentamientos, — Perro: no recomendado","https://commons.wikimedia.org/wiki/Special:FilePath/German_Bridge_(Cross_River,_Mamfe).jpg?width=1200",https://theawakeman.github.io/africa2027/paises/camerun/#poi-1,"https://www.google.com/maps?q=5.75,9.3167",PDI · Azul,5.75,9.3167
Kumba y el lago cratérico de Barombi Mbo,"Baja · Naturaleza — Kumba es una ciudad importante del interior de la región Suroeste. A unos 5 km al norte está Barombi Mbo, lago cratérico volcánico de alrededor de 2,5 km de diámetro y más de 110 m de profundidad, conocido por sus peces  — Perro: no recomendado",https://commons.wikimedia.org/wiki/Special:FilePath/Lac_Barombi_Mbo_-_Barombi_Mbo_Crater_Lake_-_Region_du_Sud-ouest_-_Cameroun.jpg?width=1200,https://theawakeman.github.io/africa2027/paises/camerun/#poi-2,"https://www.google.com/maps?q=4.66195,9.40339",PDI · Verde,4.66195,9.40339
Limbe · playas de arena negra y Wildlife Centre,"Alta · Costa — Ciudad costera a los pies del monte Camerún, con playas de arena negra volcánica como Down Beach, Mile 6 y Seme Beach, además del Limbe Wildlife Centre, que rehabilita gorilas, chimpancés, drills y mandriles rescatados.  — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Seme%20beach%20limbe%20Cameroon.jpg?width=1200,https://theawakeman.github.io/africa2027/paises/camerun/#poi-3,"https://www.google.com/maps?q=4.0186,9.2054",PDI · Turquesa,4.0186,9.2054
Monte Camerún (4.095 m) · «Mount Fako»,Alta · Naturaleza — El techo del África occidental y uno de los volcanes más activos del continente: registró erupciones importantes en 1999 y 2000 y una pequeña explosión reportada en 2012. Se levanta desde el nivel del mar hasta 4.095 m e — Perro: no confirmado — tratar como prohibido,https://commons.wikimedia.org/wiki/Special:FilePath/Mount%20Cameroon%2C%20Buea%20in%20the%20wee%20hours%20of%20a%20clear%20morning.jpg?width=1200,https://theawakeman.github.io/africa2027/paises/camerun/#poi-4,"https://www.google.com/maps?q=4.2174,9.17275",PDI · Verde,4.2174,9.17275
Duala,"Alta · Ciudad · servicios — Capital económica y uno de los principales puertos de África central, además de aeropuerto internacional y gran plaza para talleres, recambios, neumáticos y soldadura. Es también el punto donde la ruta deja la región ang — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Port%20autonome%20de%20Douala%201.jpg?width=1200,https://theawakeman.github.io/africa2027/paises/camerun/#poi-5,"https://www.google.com/maps?q=4.0483,9.7043",PDI · Azul,4.0483,9.7043
Kribi,"Alta · Costa — Principal destino costero del sur de Camerún, con playas de arena, cocoteros y numerosos puestos de pescado y marisco a la brasa al sur de la ciudad. Al norte queda el puerto de aguas profundas de Kribi. Es una parada de — Perro: permitido",https://commons.wikimedia.org/wiki/Special:FilePath/The%20Kribi-Cameroon%20beach%20on%20a%20Sunny%20day.jpg?width=1200,https://theawakeman.github.io/africa2027/paises/camerun/#poi-6,"https://www.google.com/maps?q=2.9369,9.9096",PDI · Turquesa,2.9369,9.9096
Cataratas de la Lobé,"Alta · Naturaleza — Al sur de Kribi, el río Lobé forma una sucesión de saltos de unos 20 m que llegan directamente al Atlántico. El paisaje cultural de las cataratas figura en la lista indicativa de la UNESCO por su valor natural y por la r — Perro: permitido",https://commons.wikimedia.org/wiki/Special:FilePath/Les%20chutes%20de%20la%20lob%C3%A9%20kribi%20cameroon1.jpg?width=1200,https://theawakeman.github.io/africa2027/paises/camerun/#poi-7,"https://www.google.com/maps?q=2.88168,9.89756",PDI · Verde,2.88168,9.89756
Parque Nacional de Campo Ma'an,"Media · Naturaleza — 2.640 km² de selva atlántica costera en el extremo suroeste, entre el mar y la frontera de Guinea Ecuatorial, creado como compensación ambiental del oleoducto Chad-Camerún. Elefantes de bosque, gorilas de llanura occiden — Perro: no confirmado — tratar como prohibido","https://commons.wikimedia.org/wiki/Special:FilePath/Peters_Duiker_(Cephalophus_callipygus)_from_behind,_Campo_Maan_National_Park.jpg?width=1200",https://theawakeman.github.io/africa2027/paises/camerun/#poi-8,"https://www.google.com/maps?q=2.3667,10.1",PDI · Verde,2.3667,10.1
Sangmélima,"Media · Ciudad · servicios — Capital del departamento de Dja-et-Lobo y ÚLTIMA plaza de servicios reales (combustible formal, taller, hospital, banco, mercado) antes de los 325 km del corredor Ketta-Djoum hacia la frontera del Congo. Punto de no reto — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Sangmelima_Cameroon.jpg?width=1200,https://theawakeman.github.io/africa2027/paises/camerun/#poi-9,"https://www.google.com/maps?q=2.9333,11.9833",PDI · Azul,2.9333,11.9833
Reserva de Fauna del Dja (UNESCO),"Alta · Patrimonio UNESCO — 5.260 km² de selva tropical húmeda casi intacta, rodeada en el 90 % de su perímetro por el meandro del río Dja, Patrimonio Mundial de la UNESCO desde 1987 y Reserva de la Biosfera. Una de las mayores y mejor conservadas  — Perro: no confirmado — tratar como prohibido",https://commons.wikimedia.org/wiki/Special:FilePath/Dja%20Faunal%20Reserve-109435.jpg?width=1200,https://theawakeman.github.io/africa2027/paises/camerun/#poi-10,"https://www.google.com/maps?q=3,13",PDI · Ámbar,3,13
