Nombre,Descripcion,Foto,Ficha,Google Maps,Categoria,Latitude,Longitude
Embajada de España en Dakar,Consular — 18-20 Av. Nelson Mandela (Plateau) · +221 33 889 65 80 / +221 33 821 30 81 · emb.dakar@maec.es,,https://theawakeman.github.io/africa2027/paises/senegal/#logistica,"https://www.google.com/maps?q=14.66292,-17.43621",Consulado,14.66292,-17.43621
Consulado General de España en Dakar,"Consular — Corniche Ouest, Fann-Mermoz, Villa nº 7 (B.P. 25908) · +221 33 869 07 07 · emergencia +221 77 569 28 89 · cog.dakar@maec.es",,https://theawakeman.github.io/africa2027/paises/senegal/#logistica,"https://www.google.com/maps?q=14.70041,-17.4755",Consulado,14.70041,-17.4755
Hôpital Principal de Dakar,Hospital — Urgencias; 1 Avenue Nelson Mandela. SAMU: 1515; confirmar antes de desplazarse.,,https://theawakeman.github.io/africa2027/paises/senegal/#logistica,"https://www.google.com/maps?q=14.66128,-17.43479",Hospital,14.66128,-17.43479
Centre Hospitalier Régional de Saint-Louis,Hospital — +221 77 289 02 44 · Boulevard Abdoulaye Mar Diop.,,https://theawakeman.github.io/africa2027/paises/senegal/#logistica,"https://www.google.com/maps?q=16.02284,-16.50597",Hospital,16.02284,-16.50597
Centre Hospitalier Régional de Tambacounda,"Hospital — Av. Léopold Sédar Senghor, Tambacounda · +221 33 981 10 28 / +221 33 981 12 18. Hospital de referencia del este del país.",,https://theawakeman.github.io/africa2027/paises/senegal/#logistica,"https://www.google.com/maps?q=13.77345,-13.6697",Hospital,13.77345,-13.6697
Centre Hospitalier Régional Amath Dansokho — Kédougou,Hospital — Único hospital de la región de Kédougou (CHRADK): urgencias 24 h y unidad de diálisis · +221 78 163 78 39 / +221 76 667 78 46 · coordenada de DIMO Santé (fuente única): reconfirmar sobre el terreno.,,https://theawakeman.github.io/africa2027/paises/senegal/#logistica,"https://www.google.com/maps?q=12.53777,-12.151",Hospital,12.53777,-12.151
Centre de santé de Ranérou,Hospital — Capacidad limitada; coordenada provisional; no sustituye evacuación.,,https://theawakeman.github.io/africa2027/paises/senegal/#logistica,"https://www.google.com/maps?q=15.29808,-13.96239",Hospital,15.29808,-13.96239
Paso fronterizo Kalifourou — salida hacia Guinea,"Frontera — Control senegalés del corredor base; revalidar apertura, horario y trámites.",,https://theawakeman.github.io/africa2027/paises/senegal/#logistica,"https://www.google.com/maps?q=12.92415,-13.63848",Frontera,12.92415,-13.63848
Sambaïlo (Koundara) — primeros controles guineanos tras Kalifourou,"Frontera — La salida de Senegal se hace en Kalifourou (punto anterior); esta coordenada es el pueblo guineano de Sambaïlo, no un puesto fronterizo. El puesto de control yuxtapuesto de Boundou Fourdou, construido a caballo sobre la frontera por UEMOA/BAD y entregado en diciembre de 2019, seguía descrito en abril de 2023 con «ausencia total de vida administrativa»: no contar con él. Ruta usual Manda–Kalifourou → Sambaïlo–Koundara, asfaltada. Revalidar apertura, horario y trámites.",,https://theawakeman.github.io/africa2027/paises/senegal/#logistica,"https://www.google.com/maps?q=12.58241,-13.37191",Frontera,12.58241,-13.37191
Paso Karang–Amdalai — Senegal/Gambia (SUBIDA),"Frontera — Paso del corredor de SUBIDA: se cruza a Gambia a la vuelta, viniendo de Casamance, para subir después hacia Dakar y el lago Retba. Ver la ficha de Gambia.",,https://theawakeman.github.io/africa2027/paises/senegal/#logistica,"https://www.google.com/maps?q=13.59169,-16.42208",Frontera,13.59169,-16.42208
Paso Keur Ayib–Farafenni — Senegal/Gambia (SUBIDA),"Frontera — Paso de la variante interior de Gambia, a una decena de kilómetros al norte del puente de Senegambia (Farafenni–Soma), si a la vuelta se remonta el río en vez de tomar el eje corto costero. El punto es el corredor de trámites: la aldea senegalesa de Keur Ayip Guèye queda 270 m al norte y las oficinas gambianas de aduana e inmigración 330 m al sur (13.59044, -15.60541).",,https://theawakeman.github.io/africa2027/paises/senegal/#logistica,"https://www.google.com/maps?q=13.59335,-15.60578",Frontera,13.59335,-15.60578
Combustible · Saint-Louis,"Combustible — Estaciones formales (Total, Elton, Shell) en la entrada de la ciudad; repostar tras la frontera de Diama.",,https://theawakeman.github.io/africa2027/paises/senegal/#logistica,"https://www.google.com/maps?q=16.0294,-16.4894",Combustible,16.0294,-16.4894
Combustible · Dakar,Combustible — Mejor oferta y calidad del país; repostar aquí antes del bloque del Ferlo o del Saloum.,,https://theawakeman.github.io/africa2027/paises/senegal/#logistica,"https://www.google.com/maps?q=14.7167,-17.4677",Combustible,14.7167,-17.4677
Combustible · Tambacounda,Combustible — Última ciudad grande con oferta amplia antes de Kédougou y el bloque oriental.,,https://theawakeman.github.io/africa2027/paises/senegal/#logistica,"https://www.google.com/maps?q=13.7667,-13.6667",Combustible,13.7667,-13.6667
Combustible · Kédougou,"Combustible — Estaciones formales limitadas; repostar a fondo antes de Bandafassi, Iwol y Dindéfelo.",,https://theawakeman.github.io/africa2027/paises/senegal/#logistica,"https://www.google.com/maps?q=12.5578,-12.174",Combustible,12.5578,-12.174
Agua de servicio · Zebrabar (Saint-Louis),Agua de servicio — [CONDICIONAL] Duchas y camping verificados; pedir permiso explícito para llenar los depósitos. No asumir potabilidad.,,https://theawakeman.github.io/africa2027/paises/senegal/#agua-combustible,"https://www.google.com/maps?q=15.8649,-16.512",Agua de servicio,15.8649,-16.512
Agua de servicio · Café Romantique (Rufisque),"Agua de servicio — [CONDICIONAL] Agua corriente y duchas en recinto pequeño; precontactar, confirmar altura aproximada de 4 m, plaza y permiso de llenado.",,https://theawakeman.github.io/africa2027/paises/senegal/#agua-combustible,"https://www.google.com/maps?q=14.7285,-17.2556",Agua de servicio,14.7285,-17.2556
Agua de servicio · tuberías de Hamdallai Diapaldi (N7),"Agua de servicio — [PUNTO PÚBLICO REPORTADO] Tres tuberías con caudal, usadas por la comunidad. Prioridad absoluta a residentes: esperar turno, llenar con garrafas sin bloquear y tratar antes de beber.",,https://theawakeman.github.io/africa2027/paises/senegal/#agua-combustible,"https://www.google.com/maps?q=13.4457,-13.4317",Agua de servicio,13.4457,-13.4317
Agua de servicio · Oasis Oriental Club (Tambacounda),"Agua de servicio — [CONDICIONAL] Alojamiento con agua, duchas y acceso camper publicados. Contactar para confirmar acceso de dos 4x4, precio y autorización de llenado.",,https://theawakeman.github.io/africa2027/paises/senegal/#agua-combustible,"https://www.google.com/maps?q=13.7751,-13.6921",Agua de servicio,13.7751,-13.6921
Frontera · Entrada norte — puesto mauritano de Guerguerat,"Frontera — Puesto MAURITANO (complejo PK55: policía de fronteras, oficina de visados y aduana); esta coordenada está sobre la oficina de policía de fronteras. El puesto MARROQUÍ de El Guerguarat es otro y queda 3,5 km al norte (21.36266 / -16.96084): entre ambos hay unos 4 km de tierra de nadie sin asfaltar. No abandonar la pista marcada en la zona intermedia. Corredor oficial hacia Nuadibú.",,https://theawakeman.github.io/africa2027/paises/mauritania/#logistica,"https://www.google.com/maps?q=21.33367,-16.94717",Frontera,21.33367,-16.94717
