Nombre,Descripcion,Foto,Ficha,Google Maps,Categoria,Latitude,Longitude
Valle del Omo (Turmi y mercados del sur),"Alta · Cultura — Mosaico de pueblos (hamer, mursi, karo, dassanech) con mercados semanales tradicionales; visitar siempre con guía local, con respeto y consentimiento explícito antes de fotografiar a las personas, evitando cualquier trato del encuentro como espectáculo. — Perro: no recomendado",https://commons.wikimedia.org/wiki/Special:FilePath/Market%20scene%20in%20Turmi%2C%20Ethiopia%2C%202011.jpg?width=900,https://theawakeman.github.io/africa2027/paises/etiopia/#poi-1,"https://www.google.com/maps?q=4.95,36.4833",PDI · Morado,4.95,36.4833
Addis Abeba,"Alta · Ciudad · servicios — Capital y mayor base de servicios, talleres y recambios del tramo; sede de la embajada de España (que también cubre Yibuti y Seychelles) y punto de decisión sobre cómo continuar el viaje dado el bloqueo del corredor de Sudán. — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Addis%20abeba%20meskele%20square.jpg?width=900,https://theawakeman.github.io/africa2027/paises/etiopia/#poi-2,"https://www.google.com/maps?q=9.025,38.7469",PDI · Azul,9.025,38.7469
Lago Langano,"Media · Naturaleza — Lago del Valle del Rift apto para el baño (a diferencia de la mayoría de lagos etíopes), con lodges y campings de descanso a un día de Addis Abeba; buena parada de transición hacia el sur o el este. — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Lake%20Langano%2C%20Ethiopia%20(51101653388).jpg?width=900,https://theawakeman.github.io/africa2027/paises/etiopia/#poi-3,"https://www.google.com/maps?q=7.5833,38.75",PDI · Verde,7.5833,38.75
"Harar (ciudad amurallada, Jugol)","Media · Cultura — Cuarta ciudad santa del islam y casco histórico amurallado (Jugol, UNESCO), con más de 80 mezquitas en un laberinto de callejones; última gran referencia cultural antes de virar hacia la frontera de Galafi con Yibuti. — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Old%20City%20(Jugal)%20Jamia%20Mosque%20inside%20Jugol%201.jpg?width=900,https://theawakeman.github.io/africa2027/paises/etiopia/#poi-4,"https://www.google.com/maps?q=9.3125,42.1258",PDI · Morado,9.3125,42.1258
Jartum · confluencia de los dos Nilos (Mogran) y Museo Nacional,"Alta · Ciudad · servicios — Jartum nace donde el Nilo Azul, llegado de Etiopía, se une al Nilo Blanco en el Mogran, y durante años fue la puerta lógica de cualquier ruta por Sudán. En Nile Avenue, junto a la confluencia, está el Museo Nacional (1971), que guardaba los templos de Buhen y Semna rescatados del lago Nasser, los frescos de Faras y la estatua de Taharqa. Las RSF lo OCUPARON DEL 02-06-2023 A 03-2025 y su dirección denuncia que hasta el 90 % de los fondos fue saqueado o destruido; en 07-2026 se anunció una reapertura simbólica. La ciudad está bajo control del ejército desde el 26-03-2025, pero sigue recibiendo ataques de drones. — Perro: no recomendado",https://commons.wikimedia.org/wiki/Special:FilePath/Sudan_National_Museum_(8625532907).jpg?width=1200,https://theawakeman.github.io/africa2027/paises/sudan/#poi-1,"https://www.google.com/maps?q=15.60592,32.50839",PDI · Azul,15.60592,32.50839
"Omdurmán · tumba del Mahdi, zoco y derviches de Hamed al-Nil","Alta · Cultura — Omdurmán, en la orilla oeste del Nilo, fue la capital del Estado mahdista y conserva la tumba de cúpula plateada de Muhammad Ahmad, el Mahdi: acabada en 1885, dinamitada por Kitchener tras la batalla de 1898 y RECONSTRUIDA EN 1947. Enfrente, la Casa del Califa es museo, y el zoco es el mayor de Sudán. Los viernes al atardecer, en la tumba del jeque Hamed al-Nil, los derviches de su tariqa cantan y giran entre tambores. Las RSF ocuparon Omdurmán entre 04-2023 y 05-2025 y del museo desaparecieron espadas de Osman Digna. — Perro: prohibido",https://commons.wikimedia.org/wiki/Special:FilePath/Tomb_of_The_Mahdi_(8626640228).jpg?width=1200,https://theawakeman.github.io/africa2027/paises/sudan/#poi-2,"https://www.google.com/maps?q=15.63952,32.48854",PDI · Morado,15.63952,32.48854
Garganta de Sabaloka · la sexta catarata del Nilo,"Media · Naturaleza — Unos 50–80 km al norte de Jartum el Nilo se estrecha y atraviesa el plutón de Sabaloka, un anillo de rocas ígneas que forma la SEXTA CATARATA, la última antes de Egipto contando desde el sur. No es una cascada sino rápidos entre paredes de granito y roca oscura que se ven bien solo desde el agua: los pescadores locales alquilan barcas de unos 45 minutos y hay chiringuitos de pescado frito. Se llega por pistas de tierra mal señalizadas que se convierten en barro con las lluvias. Era la excursión de fin de semana de los jartumíes. — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Alsabloga.jpg?width=1200,https://theawakeman.github.io/africa2027/paises/sudan/#poi-3,"https://www.google.com/maps?q=16.2769,32.60514",PDI · Verde,16.2769,32.60514
Pirámides de Meroe (UNESCO),"Alta · Patrimonio UNESCO — A unos 200 km al noreste de Jartum, junto a la aldea de Bagrawiya, se alzan las necrópolis reales de Meroe, capital del reino de Kush desde hacia 590 a. C. hasta 350 d. C.: MÁS DE 140 PIRÁMIDES de arenisca en tres cementerios, estrechas y empinadas (unos 72°), de 6 a 30 m. En 1834 el cazatesoros Giuseppe Ferlini decapitó unas cuarenta con explosivos. Patrimonio Mundial desde 2011 con Naqa y Musawwarat. Desde 2023 el sitio está «largely abandoned», con guardas pero sin misiones ni turistas, y la arena y la sal avanzan sobre las inscripciones. — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Meroe_Pyramids_-_33110830438.jpg?width=1200,https://theawakeman.github.io/africa2027/paises/sudan/#poi-4,"https://www.google.com/maps?q=16.93467,33.75136",PDI · Ámbar,16.93467,33.75136
Naqa y Musawwarat es-Sufra · templos del reino de Kush (UNESCO),"Alta · Patrimonio UNESCO — A unos 50 km al este del Nilo, en pleno desierto de la 'isla de Meroe', están los dos grandes centros religiosos kushitas: Naqa, con el Templo del León de Apedemak (Natakamani y Amanitore pisando prisioneros), el Quiosco Romano de capiteles corintios y un templo de Amón de 100 m; y Musawwarat es-Sufra, 20 km al norte, con el Gran Recinto de 45.000 m² lleno de ELEFANTES ESCULPIDOS y un Templo del León (c. 230 a. C.) reconstruido por la Universidad Humboldt en 1960–70. Patrimonio Mundial 2011. El 14-01-2024 el ejército bombardeó ambos sitios tras una incursión de las RSF. — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Naqa_Apedamak_temple.jpg?width=1200,https://theawakeman.github.io/africa2027/paises/sudan/#poi-5,"https://www.google.com/maps?q=16.26878,33.27642",PDI · Ámbar,16.26878,33.27642
Atbara · confluencia del Atbara y el Nilo,"Media · Ciudad · servicios — Atbara es la 'ciudad del ferrocarril': nació con la línea Wadi Halfa–Jartum y aquí se unen las vías que vienen del norte, de Port Sudán y de Karima. Está en la confluencia del río Atbara, el último afluente del Nilo, que llega cargado de limo etíope solo en verano. El 8 de abril de 1898 Kitchener venció aquí a los mahdistas antes de Omdurmán. Es también la ciudad de la cementera y la cabecera de la carretera que cruza el Bayuda hacia Karima. En 08-2026 sufrió ATAQUES DE DRONES de las RSF; en 2024 se incautó aquí un almacén de piezas robadas del Museo Nacional. — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Atbara_Nile_river.jpg?width=1200,https://theawakeman.github.io/africa2027/paises/sudan/#poi-6,"https://www.google.com/maps?q=17.71211,34.00066",PDI · Azul,17.71211,34.00066
