Nombre,Descripcion,Foto,Ficha,Google Maps,Categoria,Latitude,Longitude
Bo-Waterside · la frontera que no podemos cruzar,"Media · Ciudad · servicios — El paso fronterizo principal del oeste de Liberia, frente al sierraleonés de Jendema, con tráfico comercial denso de camiones y autobuses. Es la puerta natural desde Sierra Leona y la primera que se activaría si el problema del visado se resolviera. Y es exactamente donde está el problema: el visado electrónico liberiano, en vigor desde el 11 de marzo de 2025, es un «visado electrónico a la llegada» que SOLO se expide en el aeropuerto internacional de Monrovia. En una frontera terrestre no sirve: hay que presentarse con un visado estampado por una misión diplomática liberiana. Sin ese papel, este puesto es una pared. Con él, Liberia se abre entera. Ver el bloque de visado para el detalle y para la vía de solución. — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Flickr_-_DFID_-_UK_Department_for_International_Development_-_Displaced_people_crossing_the_border_from_Ivory_Coast_to_Liberia.jpg?width=1600,https://theawakeman.github.io/africa2027/paises/liberia/#poi-1,"https://www.google.com/maps?q=6.85,-11.25",PDI · Azul,6.85,-11.25
Robertsport · surf de clase mundial,"Alta · Costa · surf — Robertsport ocupa una península entre el Atlántico y el lago Piso, con varias rompientes y un club local de surf. Las condiciones del mar cambian y no todas las olas sirven a principiantes. — Perro: permitido","https://commons.wikimedia.org/wiki/Special:FilePath/Robertsport_Beach,_Cape_Mount_County.jpg?width=1200",https://theawakeman.github.io/africa2027/paises/liberia/#poi-2,"https://www.google.com/maps?q=6.75091,-11.36722",PDI · Turquesa,6.75091,-11.36722
Lago Piso (sitio Ramsar),Media · Naturaleza — Lake Piso es la mayor laguna costera de Liberia y un humedal Ramsar junto a Robertsport. La navegación o pesca debe contratarse con gente local que conozca la bocana y las mareas. — Perro: permitido con precaución,https://commons.wikimedia.org/wiki/Special:FilePath/Lake_Piso.jpg?width=1200,https://theawakeman.github.io/africa2027/paises/liberia/#poi-3,"https://www.google.com/maps?q=6.73622,-11.26372",PDI · Verde,6.73622,-11.26372
Monrovia · la capital más lluviosa del mundo,"Alta · Ciudad · servicios — Capital sobre el cabo Mesurado, con 1,76 millones de habitantes en el censo de 2022 y un área metropolitana de más de 2,2 millones: un tercio del país entero vive aquí. Ostenta un récord que hay que tener muy presente para planificar: es la CAPITAL MÁS LLUVIOSA DEL MUNDO, con una media de 4.600 mm al año. Barrios con carácter propio: Mamba Point, el barrio diplomático sobre el mar; Sinkor, el centro moderno de hoteles y negocios; Waterside, el mercado grande frente al puerto natural; y West Point, una península densísima de bajos ingresos que es también uno de los símbolos urbanos del país. Para ver: el Museo Nacional de Liberia, el mercado de Waterside y, sobre todo, la ruina del Hotel Ducor, el hotel de lujo de los años sesenta encaramado sobre el cabo, hoy esqueleto de hormigón con la mejor vista de la ciudad. Única base logística seria: puerto franco, bancos, talleres, hospitales y —lo más importante para nosotros— todas las embajadas. — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Monrovia%2C_Liberia_-_panoramio_%2813%29.jpg?width=1600,https://theawakeman.github.io/africa2027/paises/liberia/#poi-4,"https://www.google.com/maps?q=6.31561,-10.80737",PDI · Azul,6.31561,-10.80737
Providence Island · donde empezó Liberia,"Alta · Patrimonio — Providence Island es el lugar de desembarco de los colonos afroamericanos en 1822 y conserva monumentos sobre la fundación y los conflictos posteriores. La visita se coordina, no es un parque de acceso libre garantizado. — Perro: no confirmado",https://commons.wikimedia.org/wiki/Special:FilePath/Providence_Island.jpg?width=1200,https://theawakeman.github.io/africa2027/paises/liberia/#poi-5,"https://www.google.com/maps?q=6.33,-10.795",PDI · Ámbar,6.33,-10.795
Harbel · la mayor plantación de caucho del mundo,"Media · Cultura — A una hora de Monrovia, camino del aeropuerto Roberts, empieza una cosa difícil de imaginar hasta que se atraviesa: un millón de acres —unas 400.000 hectáreas— de hevea plantada en filas perfectas, la mayor explotación continua de caucho natural del planeta. Firestone la obtuvo del gobierno liberiano en 1926 con un arrendamiento a 99 años por seis centavos el acre, en una operación que hipotecó literalmente la economía del país durante décadas; en 2005 se renegoció a 37 años y cincuenta centavos. El nombre, Harbel, es la contracción de Harvey y Bell, el fundador de Firestone y su mujer. La carretera la cruza durante kilómetros: hileras infinitas de árboles sangrados con su cuenco, poblados de trabajadores, y una historia laboral muy dura que ha llegado a los tribunales internacionales. No es un «sitio turístico»; es una de las cosas que mejor explican Liberia. No fotografiar instalaciones ni trabajadores sin permiso. — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/ASC_Leiden_-_F._van_der_Kraaij_Collection_-_13_-_009_-_The_Firestone_rubber_plantation._A_rubber_tapper_with_buckets_containing_fresh_tapped_rubber_-_Harbel%2C_Montserrado_county%2C_Liberia_-_1976.jpg?width=1600,https://theawakeman.github.io/africa2027/paises/liberia/#poi-6,"https://www.google.com/maps?q=6.2466,-10.3554",PDI · Morado,6.2466,-10.3554
Buchanan y las playas de Grand Bassa,"Media · Costa — A unos 110 km al sureste de Monrovia, el tercer puerto del país y el punto donde termina el ferrocarril minero de 250 km que baja el hierro desde Yekepa, en los montes Nimba — una de las pocas líneas férreas en funcionamiento de África occidental. Fundada en 1832 por cuáqueros negros como Port Cresson y refundada como Bassa Cove tras el conflicto de 1835 con los bassa, se libró relativamente de la destrucción de la primera guerra civil y sirvió de refugio. Lo que interesa al viajero está fuera del puerto: playas aisladas y lagunas a lo largo de toda la costa de Grand Bassa, prácticamente vacías, con cocoteros y pueblos de pescadores kru. Es la última parada con servicios reales antes de meterse en el sureste, que es otro mundo. Aquí se reposta a fondo y se cargan provisiones. — Perro: permitido",https://commons.wikimedia.org/wiki/Special:FilePath/Ebola_treatment_unit_in_Buchanan_opens_141221-A-MK740-045.jpg?width=1600,https://theawakeman.github.io/africa2027/paises/liberia/#poi-7,"https://www.google.com/maps?q=5.88725,-10.03037",PDI · Turquesa,5.88725,-10.03037
Greenville (Sinoe) · la puerta de Sapo,"Media · Ciudad · servicios — Capital del condado de Sinoe, a unos 150 km al sureste de Monrovia en línea recta pero mucho más por carretera, sobre una laguna junto a la desembocadura del río Sinoe. Unos 16.000 habitantes, tercer puerto del país con dos muelles y seis metros de calado, y una economía que gira alrededor de la madera. La fundó hacia 1838 la Mississippi Colonization Society y lleva el nombre de un plantador de Misisipi que financió el traslado de sus antiguos esclavos; quedó destruida en la guerra civil y se reconstruyó después. El dato que la define: 185 días de lluvia al año. Es la base logística obligatoria para Sapo —el último sitio con combustible, provisiones y un teléfono— y el punto donde hay que tener resuelta la autorización de la Forestry Development Authority antes de seguir. — Perro: permitido con condiciones",https://commons.wikimedia.org/wiki/Special:FilePath/Greenville_Ebola_lab_visit_150121-A-QE750-028.jpg?width=1600,https://theawakeman.github.io/africa2027/paises/liberia/#poi-8,"https://www.google.com/maps?q=5.01537,-9.03776",PDI · Azul,5.01537,-9.03776
Parque Nacional de Sapo,Alta · Naturaleza — Sapo protege una enorme extensión de selva primaria en Sinoe. La oferta turística sigue siendo remota y debe confirmarse con la autoridad o un operador; el pin no es una puerta de carretera. — Perro: prohibido,https://b-cdn.springnest.com/media/img/15n/dji_01664200e09.jpg?crop=1600%2C640%2C0%2C353&width=1500,https://theawakeman.github.io/africa2027/paises/liberia/#poi-9,"https://www.google.com/maps?q=5.46032,-8.44036",PDI · Verde,5.46032,-8.44036
Harper y Cabo Palmas · las mansiones en ruinas,"Alta · Patrimonio — Harper conserva el trazado y algunos edificios de la antigua República de Maryland junto a Cabo Palmas. Su interés está en recorrer la ciudad y el faro con contexto, no en prometer mansiones visitables. — Perro: permitido","https://commons.wikimedia.org/wiki/Special:FilePath/ASC_Leiden_-_F._van_der_Kraaij_Collection_-_15_-_37_-_The_lighthouse_Cape_Palmas_Light_on_a_peninsula_in_the_Atlantic_Ocean_-_Harper_city,_Maryland_County,_Liberia_-_1979.tif?width=1200",https://theawakeman.github.io/africa2027/paises/liberia/#poi-10,"https://www.google.com/maps?q=4.37597,-7.70094",PDI · Ámbar,4.37597,-7.70094
